domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
seed,locale_admin_page.description,,en-US,"Ensure /admin/i18n/locales.html webpage exists with the LocaleAdmin widget.","Ensure /admin/i18n/locales.html webpage exists with the LocaleAdmin widget.",0,0,"Ensure /admin/i18n/locales.html webpage exists with the LocaleAdmin widget."
seed,locale_admin_page.error.ensure_failed,,en-US,"Unable to ensure default webpage for the LocaleAdmin widget.","Unable to ensure default webpage for the LocaleAdmin widget.",0,0,"Unable to ensure default webpage for the LocaleAdmin widget."
